mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Algoritmo__min_samples_leaf,param_Algoritmo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4330511887868245,0.030025188167438252,0.1599884827931722,0.02999785429412762,10,100,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 100}",0.6816009496812223,0.6473321752927015,0.6705294616478827,0.6664875288739355,0.014279125555268125,24
0.8118440310160319,0.05085945578295213,0.10510373115539551,0.009294909695833024,10,200,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 200}",0.6839069285112449,0.6509841065762119,0.6735146077251339,0.6694685476041968,0.01374180975267695,18
1.8732329209645588,0.12259569910773434,0.2798885504404704,0.04847102686777107,10,400,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 400}",0.6833202001698784,0.6562807747018274,0.6757064503775031,0.6717691417497363,0.011384475740624029,13
2.2734872500101724,0.1619654493548915,0.27982592582702637,0.007724530357354225,10,500,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 500}",0.6837295455243203,0.6576861527519423,0.6752824433745486,0.6722327138836036,0.010848662413712318,12
5.425094683965047,0.30726098687992837,0.47446195284525555,0.013999211327150837,10,1000,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 1000}",0.684091133920744,0.6576998303971988,0.6774264142685196,0.6730724595288208,0.011205442630688648,7
0.5049013296763102,0.06220489631407232,0.10872379938761394,0.02164052856513506,20,100,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 100}",0.6774085710094797,0.6626750738592844,0.6778846153846154,0.6726560867511265,0.007060317194107438,10
0.8844631512959799,0.09492578421670751,0.16020758946736655,0.011012781259038346,20,200,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 200}",0.6830200135766209,0.6585239085239085,0.6813074461100778,0.6742837894035357,0.011165828998538203,2
2.217778444290161,0.1214478755396008,0.3451359272003174,0.03523231332020874,20,400,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 400}",0.6817169308649809,0.6593240507714193,0.6785172064777327,0.673186062704711,0.00988858231051104,6
2.61817995707194,0.26110319198720827,0.26231106122334796,0.021083184003373587,20,500,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 500}",0.6821467434871449,0.660428520625889,0.6788454699638911,0.6738069113589749,0.009555473324197506,3
4.786302804946899,0.5064448317907664,0.449779748916626,0.010044402625363465,20,1000,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 1000}",0.6840263209062907,0.6606849764744502,0.6787531458584091,0.6744881477463833,0.009994906924467065,1
0.5496157010396322,0.05571906001556261,0.12105385462443034,0.046261298374437404,30,100,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 100}",0.6760236192269513,0.6619262227814859,0.6790096017069701,0.6723198145718025,0.007449791297772304,11
1.030959129333496,0.17849291411653612,0.15314348538716635,0.0032053945633590576,30,200,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 200}",0.6820546407823955,0.6587530090819564,0.6780008753692965,0.6729361750778828,0.010164641385938856,8
1.906169096628825,0.14070984047564478,0.2553711732228597,0.018687253244266375,30,400,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 400}",0.6810858567768829,0.6595189572163257,0.6781821041689463,0.6729289727207184,0.0095561265400113,9
2.257537762324015,0.11406774437881645,0.28066404660542804,0.02945183582510364,30,500,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 500}",0.6811302025236141,0.6607773005799322,0.6781786847576321,0.6733620626203928,0.008979979249864302,5
4.508646806081136,0.3805372237275952,0.40484412511189777,0.08719600671192472,30,1000,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 1000}",0.6822013228677372,0.6593582448845607,0.6787155323339534,0.6734250333620837,0.010048004361227995,4
0.5455276966094971,0.06404273330002448,0.13640840848286948,0.025022515781196446,50,100,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 100}",0.6789470272999238,0.6539555750082066,0.6712988291935662,0.6680671438338989,0.010455493439980455,19
