mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Algoritmo__min_samples_leaf,param_Algoritmo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5054314136505127,0.053712329075100096,0.284900426864624,0.03500549417240739,10,100,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 100}",0.6816009496812223,0.6473321752927015,0.6705294616478827,0.6664875288739355,0.014279125555268125,24
1.10040283203125,0.0754088283825141,0.2386174996693929,0.044150232815519955,10,200,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 200}",0.6839069285112449,0.6509841065762119,0.6735146077251339,0.6694685476041968,0.01374180975267695,18
2.3909128506978354,0.059623259716787745,0.22764301300048828,0.014581001857245958,10,400,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 400}",0.6833202001698784,0.6562807747018274,0.6757064503775031,0.6717691417497363,0.011384475740624029,13
2.7145682175954184,0.03087690729460013,0.2618800799051921,0.008347603298862324,10,500,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 500}",0.6837295455243203,0.6576861527519423,0.6752824433745486,0.6722327138836036,0.010848662413712318,12
5.965103546778361,0.03568766935388823,0.39747246106465656,0.0656510739236717,10,1000,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 1000}",0.684091133920744,0.6576998303971988,0.6774264142685196,0.6730724595288208,0.011205442630688648,7
0.5636979738871256,0.038608772752017094,0.19127806027730307,0.07606732876367202,20,100,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 100}",0.6774085710094797,0.6626750738592844,0.6778846153846154,0.6726560867511265,0.007060317194107438,10
1.0278497536977131,0.19565083770649902,0.1387310822804769,0.014166740850761682,20,200,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 200}",0.6830200135766209,0.6585239085239085,0.6813074461100778,0.6742837894035357,0.011165828998538203,2
1.9637528260548909,0.37935767037418533,0.2815593083699544,0.052052363765916855,20,400,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 400}",0.6817169308649809,0.6593240507714193,0.6785172064777327,0.673186062704711,0.00988858231051104,6
2.3125712076822915,0.40499138068193274,0.3189723491668701,0.04552182957127819,20,500,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 500}",0.6821467434871449,0.660428520625889,0.6788454699638911,0.6738069113589749,0.009555473324197506,3
3.8768962224324546,0.03138059224740566,0.43020979563395184,0.04573638745101522,20,1000,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 1000}",0.6840263209062907,0.6606849764744502,0.6787531458584091,0.6744881477463833,0.009994906924467065,1
0.5170223712921143,0.07043580477459707,0.14526685078938803,0.04930787154544824,30,100,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 100}",0.6760236192269513,0.6619262227814859,0.6790096017069701,0.6723198145718025,0.007449791297772304,11
0.8918775717417399,0.05281142402548597,0.10831197102864583,0.014699043631635987,30,200,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 200}",0.6820546407823955,0.6587530090819564,0.6780008753692965,0.6729361750778828,0.010164641385938856,8
1.790441672007243,0.22167791832881018,0.22783366839090982,0.04259756786193893,30,400,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 400}",0.6810858567768829,0.6595189572163257,0.6781821041689463,0.6729289727207184,0.0095561265400113,9
2.3610578378041587,0.0589336702725389,0.20763436953226724,0.012196863331117289,30,500,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 500}",0.6811302025236141,0.6607773005799322,0.6781786847576321,0.6733620626203928,0.008979979249864302,5
3.854212840398153,0.08710322847287012,0.4078579743703206,0.022584432621732306,30,1000,"{'Algoritmo__min_samples_leaf': 30, 'Algoritmo__n_estimators': 1000}",0.6822013228677372,0.6593582448845607,0.6787155323339534,0.6734250333620837,0.010048004361227995,4
0.41021037101745605,0.029669208453274528,0.08083065350850423,0.023251399897071225,50,100,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 100}",0.6789470272999238,0.6539555750082066,0.6712988291935662,0.6680671438338989,0.010455493439980455,19
0.7938176790873209,0.04061962884779653,0.21243961652119955,0.028091329535592822,50,200,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 200}",0.6796702040927712,0.6569714957872852,0.6740959076485392,0.6702458691761985,0.009658327559271072,17
1.587230920791626,0.12871480458242646,0.23402301470438638,0.023850603307172293,50,400,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 400}",0.6800761382359262,0.6578502844950214,0.6750362457599299,0.6709875561636259,0.009514587369348144,16
1.8956910769144695,0.030568586305032362,0.19503386815388998,0.032160181561140415,50,500,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 500}",0.6794280080913933,0.6587290732027574,0.6749063081299923,0.6710211298080476,0.00888566014527444,15
3.7509660720825195,0.07977491562643144,0.4584337870279948,0.03211766294414363,50,1000,"{'Algoritmo__min_samples_leaf': 50, 'Algoritmo__n_estimators': 1000}",0.6805912311402657,0.6575356986541196,0.6754705109968268,0.6711991469304041,0.00988510016121499,14
0.35576709111531574,0.018516108180211405,0.07294233640034993,0.005997754956325822,75,100,"{'Algoritmo__min_samples_leaf': 75, 'Algoritmo__n_estimators': 100}",0.6707567089997987,0.653640989167305,0.6742241355728198,0.6662072779133078,0.008997757920569683,25
