mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Algoritmo__min_samples_leaf,param_Algoritmo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4976128737131755,0.007934449106707184,0.090026060740153,0.015651531799647105,10,100,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 100}",0.6816009496812223,0.6473321752927015,0.6705294616478827,0.6664875288739355,0.014279125555268125,24
0.9824523131052653,0.0421979995995986,0.19332122802734375,0.025407598672117136,10,200,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 200}",0.6839069285112449,0.6509841065762119,0.6735146077251339,0.6694685476041968,0.01374180975267695,18
2.2302563985188804,0.060593462334078384,0.25830332438151044,0.03266697917070572,10,400,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 400}",0.6833202001698784,0.6562807747018274,0.6757064503775031,0.6717691417497363,0.011384475740624029,13
2.424381891886393,0.10978668202726531,0.2929658889770508,0.033814954320593116,10,500,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 500}",0.6837295455243203,0.6576861527519423,0.6752824433745486,0.6722327138836036,0.010848662413712318,12
5.24789023399353,0.010398989018265949,0.492758830388387,0.08829378315258772,10,1000,"{'Algoritmo__min_samples_leaf': 10, 'Algoritmo__n_estimators': 1000}",0.684091133920744,0.6576998303971988,0.6774264142685196,0.6730724595288208,0.011205442630688648,7
0.5165270964304606,0.028829041967508347,0.20084198315938315,0.09491345591373981,20,100,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 100}",0.6774085710094797,0.6626750738592844,0.6778846153846154,0.6726560867511265,0.007060317194107438,10
0.9389072259267172,0.13478484256009649,0.16908693313598633,0.005483732039377719,20,200,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 200}",0.6830200135766209,0.6585239085239085,0.6813074461100778,0.6742837894035357,0.011165828998538203,2
1.7687568664550781,0.2899194067700358,0.3017744223276774,0.06354021343383688,20,400,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 400}",0.6817169308649809,0.6593240507714193,0.6785172064777327,0.673186062704711,0.00988858231051104,6
2.0727701981862388,0.23071217977431988,0.3590707778930664,0.025995086099806237,20,500,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 500}",0.6821467434871449,0.660428520625889,0.6788454699638911,0.6738069113589749,0.009555473324197506,3
3.791877826054891,0.06295554828038409,0.41105079650878906,0.08114904591812402,20,1000,"{'Algoritmo__min_samples_leaf': 20, 'Algoritmo__n_estimators': 1000}",0.6840263209062907,0.6606849764744502,0.6787531458584091,0.6744881477463833,0.009994906924467065,1
